股票代码,股票名称,昨日搜索量,今日搜索量,热度涨幅
000538,云南白药,2262,2030,-0.12959395947299468
300182,捷成股份,1361,1251,-0.12989128221833135
300474,景嘉微,2386,2249,-0.1303263900278826
000651,格力电器,3242,2956,-0.1307274016865001
002145,中核钛白,1435,1314,-0.13098659897719234
600187,国中水务,1142,1039,-0.13118137900746607
002252,上海莱士,1240,1122,-0.1322001158972379
600749,西藏旅游,1378,1238,-0.13239849991847397
000610,西安旅游,2453,2200,-0.13289259192175318
002625,光启技术,1289,1173,-0.1343396829200112
600502,安徽建工,1369,1263,-0.1347477315565686
000422,湖北宜化,1386,1268,-0.137944934897408
300501,海顺新材,1313,1272,-0.13830405955565883
002673,西部证券,1377,1246,-0.1397976080956762
002157,正邦科技,2803,2443,-0.14037541010057542
300598,诚迈科技,1184,1064,-0.14137146571335713
600221,海航控股,1565,1423,-0.1416483214089157
300075,数字政通,1424,1295,-0.14225957333536154
600011,华能国际,1298,1180,-0.14359447778104162
000721,西安饮食,5282,4817,-0.1438768324691122
002097,山河智能,1379,1250,-0.14456294922327828
600596,新安股份,1315,1201,-0.14636089959270415
600230,沧州大化,1117,1007,-0.14678814651205596
600690,海尔智家,1237,1110,-0.14722577550367766
300136,信维通信,1206,1098,-0.14727734411737048
300026,红日药业,1331,1195,-0.14907771394012714
002594,比亚迪,42102,36981,-0.15017321961982688
300071,福石控股,1327,1278,-0.15030674846625747
300223,北京君正,1187,1095,-0.15047092662568384
600756,浪潮软件,1533,1395,-0.15084809649453446
002202,金风科技,2108,1898,-0.15092936802973966
600150,中国船舶,2554,2327,-0.15115958668197482
600418,江淮汽车,7491,6486,-0.1518831003017337
002514,宝馨科技,2377,2187,-0.15321302449740015
300287,飞利信,1141,1035,-0.15378458151983576
300459,汤姆猫,2443,1888,-0.15383659580975684
000656,金科股份,1479,1315,-0.15530303030303028
002142,宁波银行,4204,3810,-0.15556584250081684
301078,孩子王,1388,1223,-0.15678243774574052
600556,天下秀,1589,1393,-0.15816127775613542
300058,蓝色光标,1833,1651,-0.15843664635427612
600157,永泰能源,2782,2485,-0.1596152777005615
600801,华新水泥,1335,1217,-0.1605140954078521
000909,数源科技,1138,1012,-0.16079207920792093
000963,华东医药,1514,1368,-0.16138745950066724
000776,广发证券,2701,2375,-0.16178936920286136
002195,二三四五,5792,5207,-0.1620963118669978
002602,世纪华通,3003,2540,-0.1640459871226282
300827,上能电气,1115,1008,-0.16433640504183877
002235,安妮股份,4717,4102,-0.16454469969554397
002995,天地在线,1384,1236,-0.16542048870731518
600072,中船科技,1186,1084,-0.16645095942828214
300496,中科创达,1727,1571,-0.16707290050963874
600728,佳都科技,1460,1302,-0.1679865082856724
002389,航天彩虹,1332,1179,-0.16815098343881463
002567,唐人神,1404,1259,-0.16833466773418726
002030,达安基因,1342,1194,-0.16953705166693012
600206,有研新材,1189,1078,-0.17151534526854206
002090,金智科技,1510,1381,-0.1730902697450607
600399,抚顺特钢,1114,1009,-0.17409948542024023
301101,明月镜片,1635,1453,-0.1743928630431193
002326,永太科技,1520,1349,-0.1747973211138527
002176,江特电机,2697,2406,-0.17511205179282863
000970,中科三环,1706,1493,-0.17511481544480345
002027,分众传媒,1905,1689,-0.17537867122098705
600199,金种子酒,1471,1311,-0.17784591797623617
600610,中毅达,1122,1023,-0.17843380981976398
002432,九安医疗,3698,3188,-0.17917933683050058
600153,建发股份,1149,1007,-0.17991960852848643
000799,酒鬼酒,2513,2228,-0.17994774657086876
600795,国电电力,2764,2480,-0.1812420227982925
300027,华谊兄弟,1745,1475,-0.18132975151108133
600100,同方股份,1819,1644,-0.18227857194167085
300207,欣旺达,2453,2144,-0.1841137432968296
300479,神思电子,1759,1584,-0.18425734306357344
300379,东方通,1184,1058,-0.18535991477705083
000676,智度股份,1167,1066,-0.185755961440893
600095,湘财股份,1298,1076,-0.1889971817754813
002387,维信诺,1239,1093,-0.18904317542528015
300065,海兰信,1562,1420,-0.1905422913196373
000948,南天信息,1926,1654,-0.19221209610604806
002410,广联达,3891,3469,-0.19348310698645088
300359,全通教育,1615,1424,-0.1937661792485832
002866,传艺科技,1551,1380,-0.1959149810366625
600460,士兰微,2546,2257,-0.19613854434823308
600039,四川路桥,1564,1394,-0.19661801068836238
600223,鲁商发展,1239,1130,-0.19918084436042838
000762,西藏矿业,1886,1635,-0.19995055488407854
600256,广汇能源,1619,1402,-0.20087461695607756
300502,新易盛,1880,1733,-0.20329041487839739
000513,丽珠集团,1300,1139,-0.20394880531166715
002506,协鑫集成,1614,1399,-0.20421197432202276
600571,信雅达,1676,1462,-0.20485904799630283
002292,奥飞娱乐,1614,1406,-0.20602500170776694
600519,贵州茅台,3474,2765,-0.20617285188564782
002607,中公教育,7637,6519,-0.20753134861451605
300253,卫宁健康,1326,1154,-0.20787664096686798
300292,吴通控股,1100,1006,-0.20932196882438747
600375,汉马科技,1331,1207,-0.2097526831544565
000868,安凯客车,1320,1144,-0.2108219743907478
002050,三花智控,1396,1216,-0.2121520016256857
002587,奥拓电子,1499,1318,-0.2128634575611339
002265,西仪股份,1182,1044,-0.21545087483176317
000039,中集集团,1824,1614,-0.21610304815301085
002458,益生股份,1567,1401,-0.2167199387745915
002335,科华数据,1528,1351,-0.21876065461984306
002230,科大讯飞,12125,10649,-0.22236421725239608
300009,安科生物,1188,1014,-0.2243264870632169
000065,北方国际,1192,1070,-0.22449238578680175
002059,云南旅游,2744,2176,-0.22552026286966054
300133,华策影视,1284,1059,-0.2259427265487033
600777,新潮能源,2545,2276,-0.23168993168993168
600257,大湖股份,1214,1058,-0.2322858903265559
002939,长城证券,1501,1294,-0.23239518408114268
600587,新华医疗,1312,1165,-0.23273461811432017
300008,天海防务,1299,1130,-0.2328597899938234
300773,拉卡拉,2369,2030,-0.23503956774332369
002100,天康生物,1211,1045,-0.23602667189645032
002015,协鑫能科,1518,1302,-0.2370482497634816
600063,皖维高新,1647,1428,-0.24024966899943245
300662,科锐国际,1342,1145,-0.24145217869067248
000830,鲁西化工,1792,1533,-0.24258768813384157
001338,永顺泰,1399,1227,-0.2437093858406214
002400,省广集团,1863,1589,-0.24508050089445454
002520,日发精机,1289,1105,-0.24520931942465873
000860,顺鑫农业,1355,1161,-0.24603139895919868
600685,中船防务,1184,1008,-0.2596662596662598
300896,爱美客,1325,1131,-0.25998151571164496
600338,西藏珠峰,1835,1527,-0.2671771708892945
300083,创世纪,2430,1998,-0.26724119541799096
000151,中成股份,1422,1187,-0.2734422019821048
000524,岭南控股,1240,1073,-0.2805747059845898
000547,航天发展,1796,1523,-0.28121336980073175
600839,四川长虹,1480,1242,-0.28406799193316057
002060,粤水电,1968,1688,-0.2896999536194653
002031,巨轮智能,2969,2354,-0.2958643685406679
002241,歌尔股份,14219,11753,-0.3017697546649112
000701,厦门信达,1409,1164,-0.3105603636681529
600585,海螺水泥,2329,1936,-0.31210976010515945
600055,万东医疗,1201,1037,-0.3206580366774543
300438,鹏辉能源,1682,1381,-0.32091911764705894
002657,中科金财,1821,1510,-0.3277729321122256
000661,长春高新,2130,1701,-0.3313888444941664
300693,盛弘股份,1515,1293,-0.3318385650224216
300264,佳创视讯,1259,1090,-0.34877597495018486
